Date,Open,High,Low,Close,% Change IBEX
06/06/2011,10278.7002,10280.09961,9910.799805,9950.799805,-3.26
13/06/2011,9958.200195,10166.29981,9803.799805,10135.2002,1.85
20/06/2011,10029.79981,10264.40039,9767.799805,9812.700195,-3.18
27/06/2011,9791.099609,10536.79981,9758.5,10492,6.92
04/07/2011,10524.2002,10524.2002,9920.400391,9938.200195,-5.28
11/07/2011,9867.400391,9870.299805,9276.099609,9484.200195,-4.57
18/07/2011,9443.799805,10221.5,9332.200195,10059.29981,6.06
25/07/2011,10005.2002,10009.59961,9499.799805,9630.700195,-4.26
01/08/2011,9713,9752.299805,8462.700195,8671.200195,-9.96
08/08/2011,8727.599609,9030.799805,7767.299805,8647.299805,-0.28
15/08/2011,8727.5,8795.299805,8015,8141.899902,-5.84
22/08/2011,8090.700195,8480.099609,8031.100098,8185.5,0.54
29/08/2011,8318.799805,8801.700195,8261.900391,8463.5,3.40
05/09/2011,8302.200195,8347.200195,7866.299805,7910.200195,-6.54
12/09/2011,7762.700195,8445.099609,7505.299805,8388.400391,6.05
19/09/2011,8177.700195,8379.400391,7639.600098,7996.899902,-4.67
26/09/2011,7846.399902,8653.900391,7842.700195,8546.599609,6.87
03/10/2011,8346.599609,8849.900391,8065.100098,8798.400391,2.95
10/10/2011,8848,9073.200195,8730.5,8975.5,2.01
17/10/2011,9032.5,9087.799805,8573.900391,8853,-1.36
24/10/2011,8924.900391,9351,8787.700195,9224.400391,4.20
31/10/2011,9127.400391,9178.200195,8407.200195,8596.400391,-6.81
07/11/2011,8436.900391,8652.099609,8211.299805,8556.099609,-0.47
14/11/2011,8615.799805,8616.900391,8191.700195,8310.099609,-2.88
21/11/2011,8291.299805,8303.200195,7601.200195,7763.5,-6.58
28/11/2011,7881.799805,8624.5,7858.100098,8558.599609,10.24
05/12/2011,8638.200195,8844.200195,8382.099609,8649.700195,1.06
12/12/2011,8600.099609,8609.400391,8153.100098,8203.400391,-5.16
19/12/2011,8131.399902,8606.5,8120.899902,8542.700195,4.14
26/12/2011,8536.5,8585.799805,8307.200195,8566.299805,0.28
02/01/2012,8558,8743.299805,8233.799805,8289.099609,-3.24
09/01/2012,8314.5,8575.900391,8250.099609,8450.599609,1.95
16/01/2012,8368.400391,8612.400391,8354.599609,8561.900391,1.32
23/01/2012,8552.700195,8746.599609,8463,8657.299805,1.11
30/01/2012,8588.400391,8861.200195,8489.400391,8861.200195,2.36
06/02/2012,8833.799805,8967.400391,8725.799805,8797.099609,-0.72
13/02/2012,8856.099609,8883.299805,8476.799805,8657,-1.59
20/02/2012,8726.599609,8864.400391,8456.400391,8527.700195,-1.49
27/02/2012,8483.299805,8628.400391,8401.900391,8563.400391,0.42
05/03/2012,8514.200195,8540.599609,8081.600098,8282.700195,-3.28
12/03/2012,8276.700195,8499.700195,8159.5,8486.299805,2.46
19/03/2012,8478.299805,8625.5,8192.599609,8281.799805,-2.41
26/03/2012,8310.799805,8345.700195,7866.399902,8008,-3.31
02/04/2012,8024.700195,8072.600098,7545.100098,7660.5,-4.34
09/04/2012,7582.5,7633.5,7218.399902,7250.600098,-5.35
16/04/2012,7232,7373.299805,6858.299805,7040.600098,-2.90
23/04/2012,6986.700195,7202.899902,6811.200195,7145.799805,1.49
30/04/2012,7182.5,7208.299805,6776.5,6876,-3.78
07/05/2012,6766.200195,7175.700195,6732.600098,6995.600098,1.74
14/05/2012,6896.600098,6907,6380.200195,6566.700195,-6.13
21/05/2012,6571.5,6683,6357.100098,6543,-0.36
28/05/2012,6585.200195,6620.600098,5994.100098,6065,-7.31
04/06/2012,5998.899902,6578.5,5987.799805,6552,8.03
11/06/2012,6897.600098,6940.299805,6439.299805,6719,2.55
18/06/2012,6855.799805,6960,6479.399902,6876.299805,2.34
25/06/2012,6844.600098,7102.200195,6512.299805,7102.200195,3.29
02/07/2012,7082.399902,7219.5,6726.700195,6738.899902,-5.12
09/07/2012,6738.200195,6829.700195,6563.299805,6664.600098,-1.10
16/07/2012,6631.299805,6682.5,6232.600098,6246.299805,-6.28
23/07/2012,6157,6617.600098,5905.299805,6617.600098,5.94
30/07/2012,6625.700195,6913.700195,6296.100098,6755.700195,2.09
06/08/2012,6751.799805,7235.799805,6738.399902,7047.700195,4.32
13/08/2012,7036.799805,7612.100098,6991.899902,7561,7.28
20/08/2012,7557,7645,7176.899902,7310.299805,-3.32
27/08/2012,7293.799805,7424.700195,7161.399902,7420.5,1.51
03/09/2012,7398.5,8027,7351.200195,7882.799805,6.23
10/09/2012,7839.399902,8231,7730,8154.5,3.45
17/09/2012,8087.600098,8230.700195,7949.100098,8230.700195,0.93
24/09/2012,8165.899902,8197.900391,7678.700195,7708.5,-6.34
01/10/2012,7712.799805,7972.799805,7703,7954.399902,3.19
08/10/2012,7910.5,7913.100098,7565.5,7652.399902,-3.80
15/10/2012,7653.899902,8156.600098,7624.700195,7913.399902,3.41
22/10/2012,7911.200195,7955.700195,7653.200195,7775.600098,-1.74
29/10/2012,7749.399902,7995.899902,7684.5,7968.899902,2.49
05/11/2012,7891.600098,7918.600098,7496,7636.600098,-4.17
12/11/2012,7632.100098,7756.5,7490.600098,7588.200195,-0.63
19/11/2012,7661.799805,7915.600098,7601.700195,7909.600098,4.24
26/11/2012,7882.799805,7989.600098,7753.700195,7934.600098,0.32
03/12/2012,7963.399902,8027.799805,7813.100098,7848.5,-1.09
10/12/2012,7796.100098,8045.299805,7670.799805,8024.100098,2.24
17/12/2012,8017.799805,8322,7975,8291,3.33
24/12/2012,8261.599609,8345.400391,8103.899902,8131,-1.93
31/12/2012,8111.899902,8447.599609,8041.700195,8435.799805,3.75
