Date,Open,High,Low,Close,% Change FTSE
31/12/2012,5925.399902,6089.799805,5873.399902,6089.799805,2.77
07/01/2013,6089.799805,6121.600098,6053.600098,6121.600098,0.52
14/01/2013,6121.600098,6172.5,6076.100098,6154.399902,0.54
21/01/2013,6154.399902,6284.5,6149.200195,6284.5,2.11
28/01/2013,6284.5,6354.5,6275.5,6347.200195,1.00
04/02/2013,6347.200195,6347.299805,6216.700195,6263.899902,-1.31
11/02/2013,6263.899902,6384.700195,6252.299805,6328.299805,1.03
18/02/2013,6328.299805,6412.399902,6278,6335.700195,0.12
25/02/2013,6335.700195,6391.700195,6258.600098,6378.600098,0.68
04/03/2013,6378.600098,6489.5,6333.200195,6483.600098,1.65
11/03/2013,6483.600098,6534,6437.600098,6489.700195,0.09
18/03/2013,6489.700195,6489.700195,6364,6392.799805,-1.49
25/03/2013,6392.799805,6458.5,6344.200195,6411.700195,0.30
01/04/2013,6411.700195,6501.799805,6214.399902,6249.799805,-2.53
08/04/2013,6249.799805,6423.600098,6249.799805,6384.399902,2.15
15/04/2013,6384.399902,6384.399902,6225.200195,6286.600098,-1.53
22/04/2013,6286.600098,6467.100098,6259,6426.399902,2.22
29/04/2013,6426.399902,6541.700195,6409.799805,6521.5,1.48
06/05/2013,6521.5,6637.799805,6521.399902,6625,1.59
13/05/2013,6625,6726.899902,6602.799805,6723.100098,1.48
20/05/2013,6723.100098,6875.600098,6640.100098,6654.299805,-1.02
27/05/2013,6654.299805,6790.700195,6577.799805,6583.100098,-1.07
03/06/2013,6583.100098,6583.100098,6313.600098,6412,-2.60
10/06/2013,6412,6421.200195,6205.700195,6308.299805,-1.62
17/06/2013,6308.299805,6397.299805,6116.200195,6116.200195,-3.05
24/06/2013,6116.200195,6271.799805,6023.399902,6215.5,1.62
01/07/2013,6215.5,6498.600098,6185.200195,6375.5,2.57
08/07/2013,6375.5,6585.700195,6375.5,6544.899902,2.66
15/07/2013,6544.899902,6657.399902,6517.399902,6630.700195,1.31
22/07/2013,6630.700195,6662.200195,6535.200195,6554.799805,-1.14
29/07/2013,6554.799805,6696.600098,6544.100098,6647.899902,1.42
05/08/2013,6647.899902,6685,6507.200195,6583.399902,-0.97
12/08/2013,6583.399902,6628,6460.100098,6500,-1.27
19/08/2013,6500,6516.700195,6386.700195,6492.100098,-0.12
26/08/2013,6492.100098,6502.200195,6393.700195,6412.899902,-1.22
02/09/2013,6412.899902,6568.200195,6412.899902,6547.299805,2.10
09/09/2013,6547.299805,6606.100098,6508.799805,6583.799805,0.56
16/09/2013,6583.799805,6659.100098,6532.5,6596.399902,0.19
23/09/2013,6596.399902,6601.5,6487.299805,6512.700195,-1.27
30/09/2013,6512.700195,6512.700195,6386.200195,6453.899902,-0.90
07/10/2013,6453.899902,6489.200195,6316.899902,6487.200195,0.52
14/10/2013,6487.200195,6622.700195,6464.399902,6622.600098,2.09
21/10/2013,6622.600098,6729.700195,6617.799805,6721.299805,1.49
28/10/2013,6721.299805,6819.899902,6704.200195,6734.700195,0.20
04/11/2013,6734.700195,6780.100098,6643.899902,6708.399902,-0.39
11/11/2013,6708.399902,6744.799805,6614,6693.399902,-0.22
18/11/2013,6693.399902,6732.100098,6643.5,6674.299805,-0.29
25/11/2013,6674.299805,6709.100098,6635.700195,6650.600098,-0.36
02/12/2013,6650.600098,6657.399902,6479.700195,6552,-1.48
09/12/2013,6552,6571.899902,6433.5,6440,-1.71
16/12/2013,6440,6616.799805,6422.200195,6606.600098,2.59
23/12/2013,6606.600098,6754.100098,6606.200195,6750.899902,2.18
30/12/2013,6750.899902,6768.399902,6699.299805,6730.700195,-0.30
06/01/2014,6730.700195,6769.899902,6679.299805,6739.899902,0.14
13/01/2014,6739.899902,6840.5,6694.100098,6829.299805,1.33
20/01/2014,6829.299805,6867.399902,6654.899902,6663.700195,-2.42
27/01/2014,6663.700195,6665.399902,6421.299805,6510.399902,-2.30
03/02/2014,6510.399902,6596.299805,6416.700195,6571.700195,0.94
10/02/2014,6571.700195,6708.200195,6565.299805,6663.600098,1.40
17/02/2014,6663.600098,6859.899902,6661.5,6838.100098,2.62
24/02/2014,6838.100098,6866.399902,6733.5,6809.700195,-0.42
03/03/2014,6809.700195,6827.200195,6671.899902,6712.700195,-1.42
10/03/2014,6712.700195,6757,6500.399902,6527.899902,-2.75
17/03/2014,6527.899902,6628.200195,6492.600098,6557.200195,0.45
24/03/2014,6557.200195,6643.600098,6506.399902,6615.600098,0.89
31/03/2014,6615.600098,6706.299805,6583.100098,6695.600098,1.21
07/04/2014,6695.600098,6695.600098,6538.799805,6561.700195,-2.00
14/04/2014,6561.700195,6627.299805,6507.100098,6625.299805,0.97
21/04/2014,6625.299805,6724.600098,6625.299805,6685.700195,0.91
28/04/2014,6685.700195,6838.200195,6682.899902,6822.399902,2.04
05/05/2014,6822.399902,6840.399902,6766.799805,6814.600098,-0.11
12/05/2014,6814.600098,6894.899902,6813.5,6855.799805,0.60
19/05/2014,6855.799805,6862.200195,6782.799805,6815.799805,-0.58
26/05/2014,6815.799805,6882.100098,6815.399902,6844.5,0.42
02/06/2014,6844.5,6874.399902,6795.299805,6858.200195,0.20
09/06/2014,6858.200195,6879,6758.200195,6777.899902,-1.17
16/06/2014,6777.899902,6840.600098,6736.100098,6825.200195,0.70
23/06/2014,6825.200195,6829.799805,6701.600098,6757.799805,-0.99
30/06/2014,6757.799805,6875.299805,6730.5,6866.100098,1.60
07/07/2014,6866.100098,6866.399902,6643.600098,6690.200195,-2.56
14/07/2014,6690.200195,6792.600098,6690.200195,6749.5,0.89
21/07/2014,6749.5,6830.799805,6715.799805,6791.600098,0.62
28/07/2014,6791.600098,6833.700195,6624.700195,6679.200195,-1.65
04/08/2014,6679.200195,6715.600098,6528.700195,6567.399902,-1.67
11/08/2014,6567.399902,6742.799805,6567.399902,6689.100098,1.85
18/08/2014,6689.100098,6784.600098,6689.100098,6775.299805,1.29
25/08/2014,6775.299805,6831.200195,6775.299805,6819.799805,0.66
01/09/2014,6819.799805,6904.899902,6798.299805,6855.100098,0.52
08/09/2014,6855.100098,6857.5,6764.899902,6807,-0.70
15/09/2014,6807,6876,6748.100098,6837.899902,0.45
22/09/2014,6837.899902,6838.399902,6615.100098,6649.399902,-2.76
29/09/2014,6649.399902,6658.899902,6446.399902,6527.899902,-1.83
06/10/2014,6527.899902,6588.299805,6328.399902,6340,-2.88
13/10/2014,6340,6405,6072.700195,6310.299805,-0.47
20/10/2014,6310.299805,6430.299805,6229.399902,6388.700195,1.24
27/10/2014,6388.700195,6553.399902,6336.100098,6546.5,2.47
03/11/2014,6546.5,6608.200195,6444.899902,6567.200195,0.32
10/11/2014,6567.200195,6654.399902,6566.799805,6654.399902,1.33
17/11/2014,6654.399902,6773.100098,6616.100098,6750.799805,1.45
24/11/2014,6750.799805,6765,6667.100098,6722.600098,-0.42
01/12/2014,6722.600098,6753.200195,6637.399902,6742.799805,0.30
08/12/2014,6742.799805,6742.799805,6297.399902,6300.600098,-6.56
15/12/2014,6300.600098,6566.899902,6144.700195,6545.299805,3.88
