Date,Open,High,Low,Close,% Change AEX
11/02/2013,345.970001,347.299988,343.339996,343.450012,-0.49
18/02/2013,343.220001,348.140015,335.529999,339.869995,-1.04
25/02/2013,341.01001,343.940002,332.98999,339.730011,-0.04
04/03/2013,337.910004,352.940002,337.51001,352.429993,3.74
11/03/2013,351.429993,356.160004,350.76001,353.579987,0.33
18/03/2013,348.570007,355.329987,348.570007,350.73999,-0.8
25/03/2013,354.040009,354.709991,344.809998,348.100006,-0.75
01/04/2013,347.779999,353.01001,337.940002,340.709991,-2.12
08/04/2013,341.529999,351.970001,340.049988,348.649994,2.33
15/04/2013,348.529999,349.5,339.23999,341.679993,-2
22/04/2013,342.630005,355.01001,338.690002,351.5,2.87
29/04/2013,351.899994,358.660004,350.339996,357.609985,1.74
06/05/2013,357.609985,362.359985,356.070007,361.170013,1
13/05/2013,361,368.720001,360.429993,368.079987,1.91
20/05/2013,369.049988,372.670013,362.570007,364.630005,-0.94
27/05/2013,365.679993,373.309998,362.559998,363.380005,-0.34
03/06/2013,361.269989,364.920013,347.23999,352.690002,-2.94
10/06/2013,352.450012,353.859985,341.970001,347.980011,-1.34
17/06/2013,349.640015,353.23999,337.640015,337.640015,-2.97
24/06/2013,337.220001,346.890015,330.980011,344.589996,2.06
01/07/2013,345.910004,357.549988,342.799988,352.529999,2.3
08/07/2013,355.309998,367.01001,354.869995,364.950012,3.52
15/07/2013,365.959991,369.929993,362.5,369.76001,1.32
22/07/2013,370.640015,373.130005,367.26001,368.309998,-0.39
29/07/2013,369.48999,374.119995,366.899994,371.339996,0.82
05/08/2013,371.910004,375.75,368.850006,375.399994,1.09
12/08/2013,376.230011,380.179993,372.51001,374.75,-0.17
19/08/2013,374.880005,375.529999,366.769989,374.670013,-0.02
26/08/2013,375.109985,375.109985,362.329987,362.929993,-3.13
02/09/2013,366.309998,372.799988,365.160004,371.040009,2.23
09/09/2013,371.48999,377.579987,369.019989,376.839996,1.56
16/09/2013,380.709991,385.899994,378.540009,382.070007,1.39
23/09/2013,381.450012,383.190002,374.049988,375.769989,-1.65
30/09/2013,372.910004,377.630005,372.440002,376.029999,0.07
07/10/2013,374.589996,376.559998,366.059998,376.109985,0.02
14/10/2013,375.149994,385.730011,374.309998,385.730011,2.56
21/10/2013,387.720001,391.410004,387.190002,389.190002,0.9
28/10/2013,389.950012,393.040009,387.980011,391.200012,0.52
04/11/2013,391.920013,398.309998,389.540009,394.070007,0.73
11/11/2013,395.130005,396.26001,388.429993,395.339996,0.32
18/11/2013,394.899994,398.040009,393.649994,395.799988,0.12
25/11/2013,397.660004,398.589996,394.109985,396.549988,0.19
02/12/2013,396.619995,397.859985,383.700012,387.01001,-2.41
09/12/2013,388.26001,389.679993,376.450012,376.859985,-2.62
16/12/2013,375.980011,391.920013,375.899994,391.559998,3.9
23/12/2013,392.880005,400.98999,392.809998,400.98999,2.41
30/12/2013,401.529999,404.429993,399.079987,401.970001,0.24
06/01/2014,401.709991,405.950012,399.230011,403.950012,0.49
13/01/2014,404.940002,408.929993,400.459991,408.26001,1.07
20/01/2014,407.179993,408.809998,393.540009,393.850006,-3.53
27/01/2014,392.769989,396.51001,381.720001,386.850006,-1.78
03/02/2014,385.859985,391.109985,379.51001,389.540009,0.7
10/02/2014,390.799988,399.640015,388.799988,398.950012,2.42
17/02/2014,400.01001,402.459991,395.779999,400.359985,0.35
24/02/2014,399.570007,401.76001,394.839996,398.540009,-0.45
03/03/2014,392.140015,400.929993,386.660004,396.279999,-0.57
10/03/2014,395.48999,399.059998,379.799988,382.649994,-3.44
17/03/2014,383.429993,393.549988,382.730011,391.359985,2.28
24/03/2014,391.820007,401.950012,387.23999,401.790009,2.67
31/03/2014,403.790009,408.420013,402.779999,407.459991,1.41
07/04/2014,404.200012,406.220001,394.160004,395.640015,-2.9
14/04/2014,393.929993,396.910004,391.290009,396.76001,0.28
21/04/2014,396.130005,399.410004,391.829987,392.850006,-0.99
28/04/2014,393.48999,401.350006,392.190002,399.230011,1.62
05/05/2014,396.869995,403.170013,392.720001,401.929993,0.68
12/05/2014,402.399994,405.399994,397.709991,399.559998,-0.59
19/05/2014,399.369995,405.589996,397.940002,405.140015,1.4
26/05/2014,406.100006,408.339996,404.609985,407.209991,0.51
02/06/2014,408.600006,413.48999,406.5,413.26001,1.49
09/06/2014,413.809998,415.910004,412.25,414.049988,0.19
16/06/2014,413.179993,419.570007,412.23999,417.899994,0.93
23/06/2014,418.299988,418.299988,408.600006,410.859985,-1.68
