Date,Open,High,Low,Close,% Change ISEQ
25/08/2014,4692.02002,4836.640137,4692.02002,4783.129883,1.94
01/09/2014,4783.129883,4961.27002,4780.129883,4954.240234,3.58
08/09/2014,4961.669922,4961.669922,4856.259766,4901.740234,-1.06
15/09/2014,4901.740234,4938.939941,4819.22998,4865.990234,-0.73
22/09/2014,4865.990234,4900.459961,4789.97998,4826.160156,-0.82
29/09/2014,4826.160156,4894.910156,4724.209961,4790.410156,-0.74
06/10/2014,4790.410156,4839.910156,4487.370117,4490.040039,-6.27
13/10/2014,4490.040039,4544.040039,4275.259766,4487.620117,-0.05
20/10/2014,4487.620117,4722.75,4476.100098,4666.419922,3.98
27/10/2014,4666.419922,4784.029785,4614.990234,4763.129883,2.07
03/11/2014,4812.930176,4935.540039,4802.859863,4827.660156,1.35
10/11/2014,4827.660156,4866.629883,4739.330078,4744.779785,-1.72
17/11/2014,4744.779785,4983.740234,4715.450195,4970.470215,4.76
24/11/2014,4970.470215,5109.100098,4945.200195,5071.580078,2.03
01/12/2014,5071.580078,5325.149902,5049.939941,5325.149902,5.00
08/12/2014,5325.149902,5325.149902,5074.310059,5074.310059,-4.71
15/12/2014,5074.310059,5204.109863,4911.470215,5168.799805,1.86
22/12/2014,5168.799805,5240.080078,5168.140137,5200.129883,0.61
29/12/2014,5200.129883,5278.859863,5188.819824,5228.689941,0.55
05/01/2015,5228.689941,5259.819824,5072.700195,5125.390137,-1.98
12/01/2015,5125.390137,5284.100098,5109.399902,5284.100098,3.10
19/01/2015,5284.100098,5632.060059,5257.620117,5577.819824,5.56
26/01/2015,5577.819824,5639.890137,5461.180176,5471.52002,-1.91
02/02/2015,5498.22998,5636.819824,5461.180176,5613.379883,2.59
09/02/2015,5613.379883,5781.830078,5535.419922,5710.759766,1.73
16/02/2015,5710.759766,5800.939941,5647.720215,5768.399902,1.01
23/02/2015,5768.399902,5977.029785,5768.399902,5977.029785,3.62
02/03/2015,5977.029785,6049.689941,5865.109863,6021.169922,0.74
09/03/2015,6021.169922,6212.109863,5915.939941,6212.109863,3.17
16/03/2015,6212.109863,6212.109863,5967.850098,6183.879883,-0.45
23/03/2015,6183.879883,6185.870117,5927.919922,6006.47998,-2.87
30/03/2015,6006.47998,6117.97998,5987.459961,6025.589844,0.32
06/04/2015,6025.589844,6241.25,6025.589844,6232.290039,3.43
13/04/2015,6250.200195,6363.399902,6228.689941,6249.319824,0.27
20/04/2015,6249.319824,6333.77002,6232.850098,6298.359863,0.78
27/04/2015,6298.359863,6365.069824,6015.689941,6067.080078,-3.67
04/05/2015,6067.080078,6237.609863,5957.169922,6229.620117,2.68
11/05/2015,6229.620117,6261.180176,6060.399902,6185.970215,-0.70
18/05/2015,6161.290039,6303.100098,6111.140137,6273.560059,1.42
25/05/2015,6273.560059,6371.75,6241.569824,6274.600098,0.02
01/06/2015,6362.129883,6362.129883,6083.149902,6102.47998,-2.74
08/06/2015,6102.47998,6280.290039,6030.819824,6210.080078,1.76
15/06/2015,6210.080078,6276.259766,6049.040039,6270.899902,0.98
22/06/2015,6270.899902,6400.040039,6270.899902,6367.669922,1.54
29/06/2015,6367.669922,6367.669922,6129.259766,6233.589844,-2.11
06/07/2015,6233.589844,6278.649902,6045.950195,6278.649902,0.72
13/07/2015,6278.649902,6514.890137,6278.649902,6480.870117,3.22
20/07/2015,6480.870117,6556.939941,6441.560059,6482.529785,0.03
